scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,Head,Head,Head,LeftPaw,LeftPaw,LeftPaw,Back,Back,Back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,958.7149047851562,600.882568359375,0.0004063136875629425,1010.720947265625,602.7427978515625,0.0004268894554115832,1035.5001220703125,597.6326904296875,0.00036899096448905766
1,958.7264404296875,600.9052124023438,0.0004062047810293734,1010.570556640625,602.7130126953125,0.0004278650740161538,1035.6351318359375,597.6849365234375,0.00037014487315900624
2,958.74365234375,600.9296264648438,0.0004062584484927356,1010.2406616210938,602.5645751953125,0.0004272147489245981,1035.1522216796875,597.4904174804688,0.00036919733975082636
3,958.7911376953125,600.91552734375,0.0004061204963363707,1010.1038208007812,602.6117553710938,0.0004268480115570128,1034.71875,597.5839233398438,0.0003694508341141045
4,958.7820434570312,600.907470703125,0.00040623528184369206,1010.1727905273438,602.66259765625,0.00042789653525687754,1034.931884765625,597.6471557617188,0.0003709942102432251
5,958.7025146484375,600.928955078125,0.0004061689833179116,1010.214111328125,602.6771850585938,0.00042694597505033016,1035.0433349609375,597.4722900390625,0.0003687984717544168
6,958.7523803710938,600.967529296875,0.00040607142727822065,1009.7890014648438,602.8213500976562,0.00042687723180279136,1034.2672119140625,597.8068237304688,0.0003694749320857227
7,958.8070678710938,600.9503173828125,0.0004060058272443712,1009.6178588867188,602.5886840820312,0.00042660647886805236,1033.7935791015625,597.4326171875,0.0003692419268190861
8,958.7550659179688,600.9953002929688,0.00040575623279437423,1009.9260864257812,602.5568237304688,0.0004264723975211382,1034.067626953125,597.4392700195312,0.0003685596748255193
9,958.7227172851562,600.953125,0.000405864673666656,1010.157470703125,602.5179443359375,0.00042677344754338264,1033.75,597.1760864257812,0.000368678622180596
10,958.7130126953125,601.0053100585938,0.0004059351631440222,1009.96484375,602.3814697265625,0.00042651331750676036,1032.9930419921875,597.0714111328125,0.00036836822982877493
11,958.8115844726562,601.0678100585938,0.0004057620244566351,1006.4736938476562,602.8096313476562,0.0004310124204494059,1027.9559326171875,597.3985595703125,0.0003707543364726007
12,957.9784545898438,601.2003784179688,0.0004053330922033638,1004.9251098632812,603.1557006835938,0.0004310545918997377,1027.8115234375,598.103515625,0.0003727288276422769
13,957.1368408203125,601.2760009765625,0.000404911523219198,1006.643798828125,603.1293334960938,0.0004314285470172763,1031.407470703125,597.9415283203125,0.0003723410191014409
14,958.7513427734375,601.0693969726562,0.0004057051264680922,1008.1126708984375,601.7792358398438,0.0004321712476667017,1020.83642578125,594.8463745117188,0.0003718873194884509
15,958.7361450195312,601.1162109375,0.00040565431118011475,1005.2529296875,602.1068115234375,0.00043156661558896303,1018.0068359375,595.5187377929688,0.00037290292675606906
16,958.7138671875,601.0686645507812,0.0004054816672578454,1006.5924682617188,602.4373168945312,0.00043270408059470356,1025.1068115234375,596.794189453125,0.00037160213105380535
17,957.242431640625,601.0919799804688,0.00040442621684633195,1004.8560180664062,602.6130981445312,0.00043149112025275826,1028.964599609375,597.2410888671875,0.00037271762266755104
18,957.3497924804688,600.8396606445312,0.0004048283735755831,1008.557373046875,603.4122924804688,0.0004344903863966465,1035.22216796875,598.4374389648438,0.0003711533499881625
19,957.3490600585938,600.686279296875,0.0004048082046210766,1011.7617797851562,603.3075561523438,0.00042866275180131197,1039.600341796875,598.184814453125,0.0003707883879542351
20,957.7506713867188,600.86865234375,0.000404888647608459,1007.87353515625,603.0127563476562,0.00043409090721979737,1033.8155517578125,597.703369140625,0.00037059368332847953
21,949.1446533203125,602.5281982421875,0.0004006673989351839,1001.8602294921875,604.737548828125,0.0004363898769952357,1034.6131591796875,598.6373291015625,0.0003705851559061557
22,958.0587768554688,600.7322387695312,0.00040516635635867715,1012.4320068359375,603.2152709960938,0.0004296842962503433,1040.2423095703125,598.1895141601562,0.0003705632407218218
23,958.2377319335938,600.7562866210938,0.00040534991421736777,1012.35400390625,603.0904541015625,0.0004290639190003276,1039.9140625,597.8228149414062,0.00036919614649377763
24,958.2140502929688,600.7553100585938,0.00040525058284401894,1013.0173950195312,603.1732177734375,0.00042927745380438864,1040.720703125,597.8949584960938,0.00036972397356294096
25,957.9948120117188,600.7200317382812,0.0004051518044434488,1012.147216796875,603.2994384765625,0.0004287537303753197,1040.172119140625,598.071533203125,0.00036948133492842317
26,957.9840087890625,600.7388305664062,0.00040501062176190317,1012.1619873046875,603.0021362304688,0.0004283019225113094,1040.315673828125,597.5361938476562,0.0003686587733682245
27,958.0213623046875,600.7470703125,0.00040512694977223873,1011.920654296875,603.156005859375,0.00042861426481977105,1039.954345703125,597.9137573242188,0.0003697110805660486
28,958.0032348632812,600.7501831054688,0.00040513777639716864,1012.138671875,603.4268798828125,0.0004280344001017511,1040.32666015625,598.2940673828125,0.00036856954102404416
29,958.0068359375,600.7300415039062,0.0004050391726195812,1011.640869140625,603.1572875976562,0.000428751518484205,1039.4820556640625,597.8548583984375,0.0003712326870299876
30,958.0140991210938,600.7521362304688,0.00040502194315195084,1011.8238525390625,603.1580810546875,0.00042832212056964636,1039.76220703125,597.9012451171875,0.00037108181277289987
31,958.0458374023438,600.7467651367188,0.00040513783460482955,1012.1282958984375,603.1585083007812,0.0004272483638487756,1040.290283203125,598.0360107421875,0.0003676154010463506
32,958.04833984375,600.73291015625,0.00040507421363145113,1011.8276977539062,602.9625244140625,0.0004288475029170513,1039.7784423828125,597.4946899414062,0.0003717220388352871
33,958.0343017578125,600.7542724609375,0.0004052511358167976,1011.9303588867188,603.239990234375,0.00042833416955545545,1040.1676025390625,598.0928344726562,0.0003690964076668024
34,958.091552734375,600.7597045898438,0.00040518204332329333,1011.72119140625,603.1072998046875,0.0004272675432730466,1039.75927734375,597.85546875,0.0003696060739457607
35,958.072265625,600.7625122070312,0.0004050919087603688,1012.0025024414062,603.0354614257812,0.0004293118545319885,1039.954833984375,597.9927368164062,0.0003708218573592603
36,958.0899047851562,600.7745971679688,0.0004052141448482871,1011.766845703125,603.3086547851562,0.0004284203751012683,1039.775390625,598.275146484375,0.0003713378100655973
37,958.1113891601562,600.7672729492188,0.0004051664436701685,1011.7161865234375,603.17431640625,0.00042727397521957755,1039.7257080078125,598.1527709960938,0.00036967237247154117
38,958.0206909179688,600.7022705078125,0.00040512840496376157,1012.1444091796875,603.2939453125,0.00042915792437270284,1040.1981201171875,598.1873168945312,0.0003701002278830856
39,958.0667114257812,600.7554931640625,0.0004052664153277874,1011.701416015625,603.29833984375,0.00042761495569720864,1039.748046875,598.3516235351562,0.00037022470496594906
40,958.0748901367188,600.7732543945312,0.00040524627547711134,1011.7638549804688,603.3642578125,0.00042843035771511495,1039.7529296875,598.4334716796875,0.00037112899008207023
41,958.0440063476562,600.7582397460938,0.0004051246796734631,1011.7973022460938,603.17333984375,0.0004274810489732772,1039.7774658203125,598.079345703125,0.0003697692300193012
42,958.0594482421875,600.7333984375,0.0004051842843182385,1011.6879272460938,603.2434692382812,0.0004282354493625462,1039.4964599609375,598.1939697265625,0.0003709708107635379
43,958.0642700195312,600.72998046875,0.00040516542503610253,1011.9480590820312,603.1356201171875,0.00042856010259129107,1039.843994140625,598.0889892578125,0.00036932993680238724
44,958.0380859375,600.7420654296875,0.0004050055576954037,1011.93994140625,603.2127685546875,0.00042879098327830434,1039.921142578125,598.01904296875,0.00036970997462049127
45,958.0673828125,600.740478515625,0.000405273400247097,1011.6985473632812,603.195068359375,0.000428097031544894,1039.5914306640625,598.1459350585938,0.0003711292229127139
46,958.0669555664062,600.7388916015625,0.00040526315569877625,1011.9105224609375,603.39404296875,0.00042786996345967054,1039.93603515625,598.5078735351562,0.00036903354339301586
47,958.03662109375,600.7374267578125,0.0004051071882713586,1012.050048828125,603.2212524414062,0.000427908351412043,1040.15087890625,598.0557861328125,0.00036820003879256546
48,958.055419921875,600.72509765625,0.00040525069925934076,1012.1481323242188,603.25244140625,0.00042731547728180885,1040.286376953125,598.3848266601562,0.0003681235248222947
49,958.0729370117188,600.716064453125,0.00040522796916775405,1011.8995361328125,603.1831665039062,0.00042773582390509546,1039.81103515625,598.1622314453125,0.0003706766583491117
50,958.02197265625,600.7361450195312,0.00040498358430340886,1012.0244140625,603.102294921875,0.00042861560359597206,1040.1142578125,597.9564208984375,0.000369345216313377
51,958.06982421875,600.7582397460938,0.0004051977302879095,1012.2046508789062,603.3034057617188,0.00042789638973772526,1040.412353515625,598.357666015625,0.0003685505362227559
52,958.0428466796875,600.7352294921875,0.0004052094300277531,1011.7770385742188,603.287109375,0.000427789258537814,1039.673828125,598.2772827148438,0.000370616908185184
53,958.0679931640625,600.7019653320312,0.0004049560520797968,1012.019775390625,602.8966674804688,0.00042908027535304427,1040.0203857421875,597.8090209960938,0.0003705818671733141
54,958.032470703125,600.7391967773438,0.0004051061114296317,1011.8120727539062,603.188232421875,0.0004284775641281158,1039.712890625,598.2542114257812,0.00037186889676377177
55,958.1173706054688,600.7451782226562,0.0004053793381899595,1012.1011352539062,603.2647705078125,0.00042856921209022403,1040.0362548828125,598.3235473632812,0.0003693353501148522
